City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind
camana,52,PE,1580173703,83,-16.62,-72.71,68.9,5.26
pevek,64,RU,1580173704,88,69.7,170.31,-3.51,3.65
puerto ayora,75,EC,1580173705,61,-0.74,-90.35,82.4,4.7
vaini,75,TO,1580173706,88,-21.2,-175.2,80.6,4.7
honningsvag,52,NO,1580173707,64,70.98,25.97,22.19,18.21
jamestown,90,US,1580173708,92,42.1,-79.24,33.01,10.29
atar,25,MR,1580173710,24,20.52,-13.05,69.71,11.7
ushuaia,90,AR,1580173585,87,-54.8,-68.3,48.2,3.36
bredasdorp,89,ZA,1580173712,82,-34.53,20.04,57.2,1.12
saldanha,76,ZA,1580173713,76,-33.01,17.94,57.2,5.82
nizhneyansk,,,,,,,,
mecca,0,SA,1580173529,25,21.43,39.83,64.35,3.69
cape town,72,ZA,1580173436,82,-33.93,18.42,61,6.93
cayenne,90,GF,1580173716,88,4.93,-52.33,78.8,3.36
punta arenas,98,CL,1580173717,66,-53.15,-70.92,51.8,14.99
richards bay,97,ZA,1580173719,66,-28.78,32.04,71.74,4.72
new norfolk,20,AU,1580173720,40,-42.78,147.06,72,18.34
kudahuvadhoo,4,MV,1580173721,71,2.67,72.89,81.09,9.51
ajdabiya,0,LY,1580173722,77,30.76,20.23,61.9,15.48
belushya guba,,,,,,,,
ribeira grande,75,PT,1580173723,93,38.52,-28.7,64.4,16.11
clyde river,5,CA,1580173724,74,70.47,-68.59,-23.8,8.05
ilulissat,90,GL,1580173725,60,69.22,-51.1,6.8,6.93
zhangye,50,CN,1580173726,58,38.93,100.45,18.3,1.19
busselton,0,AU,1580173728,25,-33.65,115.33,90,5.86
atuona,36,PF,1580173729,75,-9.8,-139.03,81.63,11.32
taolanaro,,,,,,,,
tuktoyaktuk,40,CA,1580173730,74,69.45,-133.04,-22,12.75
khatanga,16,RU,1580173731,92,71.97,102.5,-16.47,5.66
mataura,82,NZ,1580173732,64,-46.19,168.86,68.68,0.98
bluff,12,NZ,1580173733,47,-46.6,168.33,64.36,5.7
labuhan,53,ID,1580173734,84,-6.88,112.21,78.94,2.21
mahebourg,40,MU,1580173735,83,-20.41,57.7,72,5.82
tiksi,100,RU,1580173736,90,71.69,128.87,-21.14,3.91
narsaq,98,GL,1580173738,61,60.92,-46.05,14,6.93
cuiaba,93,BR,1580173508,62,-15.6,-56.1,86,3.36
kavieng,61,PG,1580173740,75,-2.57,150.8,84.72,8.21
port alfred,93,ZA,1580173741,75,-33.59,26.89,59,5.1
guerrero negro,7,MX,1580173742,66,27.98,-114.06,63.91,13.18
tubuala,75,PA,1580173743,88,9.52,-79.03,77,3.36
jishou,7,CN,1580173744,86,28.32,109.72,32.31,1.79
tongliao,100,CN,1580173539,93,43.61,122.27,11.75,9.64
rikitea,67,PF,1580173746,77,-23.12,-134.97,79.9,10.18
hermanus,60,ZA,1580173747,96,-34.42,19.23,59,4.43
avarua,100,CK,1580173749,94,-21.21,-159.78,75.2,6.93
airai,87,TL,1580173750,73,-8.93,125.41,77.04,1.92
deputatskiy,80,RU,1580173476,68,69.3,139.9,-32.33,6.02
necochea,0,AR,1580173553,80,-38.55,-58.74,57,5.99
katsuura,75,JP,1580173754,93,35.13,140.3,42.8,19.46
hobart,20,AU,1580173755,40,-42.88,147.33,72,18.34
vila franca do campo,75,PT,1580173756,100,37.72,-25.43,62.6,19.46
khani,99,GE,1580173757,42,41.96,42.96,46.4,14.99
caravelas,100,BR,1580173758,87,-17.71,-39.25,80.56,15.61
lakatoro,56,VU,1580173759,100,-16.1,167.42,86,3.36
albany,90,US,1580173502,100,42.6,-73.97,37.99,8.05
amderma,,,,,,,,
louisbourg,,,,,,,,
tautira,75,PF,1580173761,70,-17.73,-149.15,86,6.93
pangnirtung,86,CA,1580173763,67,66.15,-65.71,-22.04,3.8
